Injected_Bus,Injected_Phase,Penetration_Scenario,Affected_Bus,Affected_Phase,Active_Sensitivity,Reactive_Sensitivity,V0,V_PF,V_TJSM,Error_Percent_V_TJSM
1,0,0.5,1,0,2.9817,9.6527,1.0396,1.0416,1.0417,0.0024294467
1,0,0.5,1,1,0.0026,0.0016,1.0475,1.0475,1.0475,8.521e-07
1,0,0.5,1,2,-0.0011,-0.0071,1.0111,1.0111,1.0111,-5.158e-07
1,0,0.5,2,0,2.9933,9.7408,1.0319,1.0339,1.034,0.0024723558
1,0,0.5,2,1,0.0259,0.0018,1.0436,1.0436,1.0436,7.8485e-06
1,0,0.5,2,2,-0.0109,-0.0281,1.002,1.002,1.002,-4.5278e-06
1,0,0.5,3,0,3.0071,9.8406,1.0222,1.0243,1.0243,0.0025224808
1,0,0.5,3,1,0.0521,0.0022,1.0428,1.0428,1.0428,1.5665e-05
1,0,0.5,3,2,-0.022,-0.0521,0.9948,0.9947,0.9947,-9.1395e-06
1,0,0.5,4,0,3.0127,9.7722,1.0307,1.0327,1.0328,0.0024906231
1,0,0.5,4,1,0.0341,-0.0055,1.0368,1.0368,1.0368,1.04543e-05
1,0,0.5,4,2,-0.0211,-0.033,0.9993,0.9993,0.9993,-7.8722e-06
1,0,0.5,5,0,2.994,9.7426,1.0321,1.0342,1.0342,0.0024731408
1,0,0.5,5,1,0.0263,0.0015,1.0419,1.0419,1.0419,8.0006e-06
1,0,0.5,5,2,-0.0113,-0.0284,1.0003,1.0003,1.0003,-4.6874e-06
1,0,0.5,6,0,3.0249,9.7699,1.0326,1.0347,1.0348,0.0024912211
1,0,0.5,6,1,0.0343,-0.0054,1.0295,1.0295,1.0295,1.08734e-05
1,0,0.5,6,2,-0.0212,-0.0331,0.9974,0.9973,0.9973,-7.9036e-06
1,0,0.5,7,0,3.0402,9.7671,1.0338,1.0359,1.036,0.0024928734
1,0,0.5,7,1,0.0346,-0.0055,1.0206,1.0206,1.0206,1.12374e-05
1,0,0.5,7,2,-0.0213,-0.033,0.9975,0.9975,0.9975,-7.9611e-06
1,0,0.5,8,0,3.0259,10.0068,1.0091,1.0112,1.0112,0.0026051191
1,0,0.5,8,1,0.0892,-0.0308,1.0442,1.0442,1.0442,2.52937e-05
1,0,0.5,8,2,-0.0694,-0.0796,0.983,0.983,0.983,-2.52772e-05
1,0,0.5,9,0,3.021,9.9592,1.0131,1.0152,1.0152,0.0025812752
1,0,0.5,9,1,0.0787,-0.0213,1.0431,1.0432,1.0432,2.25172e-05
1,0,0.5,9,2,-0.0559,-0.0717,0.9859,0.9859,0.9859,-2.06541e-05
1,0,0.5,10,0,3.0354,10.1185,1.0005,1.0026,1.0026,0.0026609608
1,0,0.5,10,1,0.114,-0.0526,1.0454,1.0455,1.0455,3.19678e-05
1,0,0.5,10,2,-0.1012,-0.0984,0.9737,0.9736,0.9736,-3.63778e-05
1,0,0.5,11,0,3.0457,10.2129,0.992,0.9941,0.9941,0.0027101085
1,0,0.5,11,1,0.1345,-0.0712,1.0493,1.0494,1.0494,3.73108e-05
1,0,0.5,11,2,-0.1276,-0.1144,0.9705,0.9704,0.9704,-4.5528e-05
1,0,0.5,12,0,2.9917,9.743,1.0323,1.0343,1.0344,0.0024727058
1,0,0.5,12,1,0.0263,0.0015,1.0421,1.0421,1.0421,7.9918e-06
1,0,0.5,12,2,-0.0114,-0.0284,0.9991,0.9991,0.9991,-4.6996e-06
1,0,0.5,13,0,2.9993,9.754,1.0315,1.0335,1.0336,0.0024794856
1,0,0.5,13,1,0.0292,-0.0012,1.0409,1.041,1.041,8.9041e-06
1,0,0.5,13,2,-0.0151,-0.0302,1.0002,1.0002,1.0002,-5.9089e-06
1,0,0.5,14,0,3.0143,9.7767,1.0302,1.0323,1.0323,0.0024931777
1,0,0.5,14,1,0.0348,-0.0063,1.0367,1.0368,1.0368,1.06669e-05
1,0,0.5,14,2,-0.0221,-0.0335,0.9994,0.9994,0.9994,-8.2088e-06
1,0,0.5,15,0,3.022,9.8016,1.0276,1.0297,1.0297,0.0025069389
1,0,0.5,15,1,0.0387,-0.0107,1.0371,1.0371,1.0371,1.17837e-05
1,0,0.5,15,2,-0.0278,-0.0356,0.9997,0.9997,0.9997,-1.00246e-05
1,0,0.5,16,0,3.0223,9.7704,1.0324,1.0345,1.0346,0.0024909498
1,0,0.5,16,1,0.0343,-0.0054,1.0305,1.0305,1.0305,1.08135e-05
