Injected_Bus,Injected_Phase,Bus_Load,Estimated_MAI,PF_MAI,Estimation_Error,Load_Limited_Estimated_MAI,Load_Limited_PF_MAI
701,0,704.3614,350,373,6.1688,350,373
701,1,704.3614,20,20,0.0,20,20
701,2,704.3614,1116,1436,22.2865,1057,1057
712,2,93.9415,620,693,10.5306,141,141
713,2,93.9415,825,964,14.416,141,141
714,0,42.0476,226,235,3.8357,63,63
714,1,42.0476,14,14,0.0,14,14
718,0,93.9415,222,231,3.9026,141,141
720,2,93.9415,503,557,9.6902,141,141
722,1,179.7804,13,13,0.0,13,13
722,2,179.7804,332,359,7.5215,270,270
724,1,46.9574,13,13,-0.0,13,13
725,1,46.9574,13,13,-0.0,13,13
727,2,46.9574,711,815,12.7566,70,70
728,0,140.8723,315,351,10.254,211,211
728,1,140.8723,10,10,0.0,10,10
728,2,140.8723,575,644,10.7191,211,211
729,0,46.9574,315,348,9.4876,70,70
730,2,93.9415,707,817,13.4647,141,141
731,1,93.9415,7,7,0.0,7,7
732,2,46.9574,545,616,11.5291,70,70
733,0,93.9415,292,328,10.9791,141,141
734,2,46.9574,528,601,12.1521,70,70
735,2,93.9415,430,484,11.1591,141,141
736,1,46.9574,5,5,-0.0,5,5
737,0,156.5248,276,319,13.4683,235,235
738,0,140.4279,274,319,14.1173,211,211
740,2,93.9415,398,449,11.3606,141,141
741,2,46.9574,392,442,11.3191,70,70
742,0,102.8834,228,236,3.3966,154,154
742,1,102.8834,14,14,0.0,14,14
744,0,46.9574,316,350,9.7255,70,70
